	persoon_id	schutte_nr	id	geslachtsnaam	voornaam	tussenvoegsel	geboortejaar	sterfjaar
0	15082	5	32488	Aerssen	François	van	1572-01-01	1641-12-27
1	14073	9	38162	Pauw	Adriaan		1585-01-01	1653-12-31
2	15163	15	32579	Groot	Pieter	de	1615-01-01	1678-12-31
3	17471	17	45076	Weede	Everhard	van		1734-12-31
4	18772	17	45237	Weede	Everhard	van		1702-06-06
5	13050	23	27462	Goslinga	Sicco	van	1664-01-01	1731-09-20
6	394	35	797	Blaauw	Jacobus		1759-01-01	1829-12-31
7	3343	39	6839	Schimmelpenninck	Rutger Jan		1761-10-31	1825-02-15
8	3366	40	6862	Vos van Steenwijk	Carel	de	1759-03-11	1830-01-02
9	18570	42	46011	Brantsen	Gerhard		1735-01-01	
10	13070	50	27406	Haren	Willem	van	1710-01-01	1768-07-04
11	17079	56	37870	Joachimi	Albert		1560-01-01	1654-05-17
12	14074	57	38161	Cats	Jacob		1577-01-01	1660-12-31
13	17900	65	41633	Ripperda	Joachim			
14	15165	68	32585	Beuningen	Coenraed	van	1622-01-01	1693-10-26
15	17221	72	38336	Brande	Johan Pieter	van den	1645-01-01	1712-12-31
16	17091	74	37889	Vrijberghe	Marinus	van	1657-01-01	1711-07-03
17	19183	79	45795	Welderen	Jan Walraad	van	1725-01-01	1807-06-15
18	17274	81	46256	Nagell	Anne Willem Carel	van	1756-01-01	1851-02-06
19	12372	92	25996	Wassenaer Obdam	Carel George	van	1733-01-01	1800-12-31
20	3261	99	6757	Bylandt	Jean Charles	van	1776-01-05	1841-07-27
21	12828	107	27482	Aylva	Tjaerd	van	1712-01-01	1757-09-11
22	443	108	867	Strick van Linschoten	Paulus Hubert Adriaan Jan		1769-01-01	1819-12-31
23	19301	154	47068	Schrassert	Hendrick			
24	17833	169	45107	Reede	Godert Adriaan	van	1621-01-01	1691-09-09
25	19999	169	45396	Reede	Godert Adriaan	van	1674-01-01	1730-05-02
26	13476	171	28193	Wassenaer	Jacob	van	1649-01-01	1707-06-11
27	19085	172	45391	Lintelo	Christiaan Carel	van		1736-12-12
28	3210	187	884	Hultman	Carel Gerard		1752-01-01	1820-12-31
29	19771	197	48191	Heeckeren	Walraven	van		1701-08-21
30	12906	206	27233	Vierssen	Matthias	van	1591-01-01	1658-07-04
31	14371	209	29999	Moeringh	Cornelis		1634-01-01	1696-12-31
32	3279	217	6775	Goes	Maarten	van der	1751-01-03	1826-07-10
33	3369	252	6865	Wassenaer	Willem Lodewijk	van	1744-09-23	1833-03-25
34	13569	252	32842	Wassenaer	Willem Lodewijk	van	1744-01-01	1833-03-25
35	18500	299	41780	Ripperda	Johan Willem		1682-01-01	1737-10-17
36	413	308	829	Valckenaer	Johan		1759-01-01	1821-12-31
37	418	337	835	Witt	Jan	de		
